Economy_Label,CargoType_Label,Year,Metric_tons_in_millions_Value,Metric_tons_Footnote,Metric_tons_MissingValue
"World","Crude oil discharged",2004,1773,,
"World","Crude oil discharged",2005,1854,,
"World","Crude oil discharged",2006,1940,,
"World","Crude oil discharged",2007,1996,,
"World","Crude oil discharged",2008,1943,,
"World","Crude oil discharged",2009,1875,,
"World","Crude oil discharged",2010,1939,,
"World","Crude oil discharged",2011,1897,,
"World","Crude oil discharged",2012,1930,,
"World","Crude oil discharged",2013,1882,,
"World","Crude oil discharged",2014,1850,,
"World","Crude oil discharged",2015,1910,,
"World","Crude oil discharged",2016,1985,,
"World","Crude oil discharged",2017,2033,,
"World","Crude oil discharged",2018,2049,,
"World","Crude oil discharged",2019,2023,,
"World","Crude oil discharged",2020,1864,,
"World","Crude oil discharged",2021,1846,,
"World","Other tanker trade discharged",1970,298,,
"World","Other tanker trade discharged",1971,300,,
"World","Other tanker trade discharged",1972,316,,
"World","Other tanker trade discharged",1973,339,,
"World","Other tanker trade discharged",1974,312,,
"World","Other tanker trade discharged",1975,287,,
"World","Other tanker trade discharged",1976,312,,
"World","Other tanker trade discharged",1977,321,,
"World","Other tanker trade discharged",1978,321,,
"World","Other tanker trade discharged",1979,308,,
"World","Other tanker trade discharged",1980,326,,
"World","Other tanker trade discharged",1981,310,,
"World","Other tanker trade discharged",1982,330,,
"World","Other tanker trade discharged",1983,349,,
"World","Other tanker trade discharged",1984,371,,
"World","Other tanker trade discharged",1985,367,,
"World","Other tanker trade discharged",1986,390,,
"World","Other tanker trade discharged",1987,408,,
"World","Other tanker trade discharged",1988,422,,
"World","Other tanker trade discharged",1989,433,,
"World","Other tanker trade discharged",1990,466,,
"World","Other tanker trade discharged",1991,441,,
"World","Other tanker trade discharged",1992,451,,
"World","Other tanker trade discharged",1993,480,,
"World","Other tanker trade discharged",1994,490,,
"World","Other tanker trade discharged",1995,508,,
"World","Other tanker trade discharged",1996,480,,
"World","Other tanker trade discharged",1997,522,,
"World","Other tanker trade discharged",1998,548,,
"World","Other tanker trade discharged",1999,510,,
"World","Other tanker trade discharged",2000,513,,
"World","Other tanker trade discharged",2001,534,,
"World","Other tanker trade discharged",2002,540,,
"World","Other tanker trade discharged",2003,536,,
"World","Other tanker trade discharged",2004,545,,
"World","Other tanker trade discharged",2005,573,,
"World","Other tanker trade discharged",2006,897,,
"World","Other tanker trade discharged",2007,902,,
"World","Other tanker trade discharged",2008,933,,
"World","Other tanker trade discharged",2009,923,,
"World","Other tanker trade discharged",2010,971,,
"World","Other tanker trade discharged",2011,1039,,
"World","Other tanker trade discharged",2012,1056,,
"World","Other tanker trade discharged",2013,1091,,
"World","Other tanker trade discharged",2014,1088,,
"World","Other tanker trade discharged",2015,1175,,
"World","Other tanker trade discharged",2016,1235,,
"World","Other tanker trade discharged",2017,1288,,
"World","Other tanker trade discharged",2018,1339,,
"World","Other tanker trade discharged",2019,1320,,
"World","Other tanker trade discharged",2020,1224,,
"World","Other tanker trade discharged",2021,1273,,
"World","Dry cargo discharged",1970,1131,,
"World","Dry cargo discharged",1971,1134,,
"World","Dry cargo discharged",1972,1217,,
"World","Dry cargo discharged",1973,1377,,
"World","Dry cargo discharged",1974,1472,,
"World","Dry cargo discharged",1975,1395,,
"World","Dry cargo discharged",1976,1518,,
"World","Dry cargo discharged",1977,1536,,
"World","Dry cargo discharged",1978,1570,,
"World","Dry cargo discharged",1979,1782,,
"World","Dry cargo discharged",1980,1823,,
"World","Dry cargo discharged",1981,1838,,
"World","Dry cargo discharged",1982,1780,,
"World","Dry cargo discharged",1983,1830,,
"World","Dry cargo discharged",1984,1928,,
"World","Dry cargo discharged",1985,1938,,
"World","Dry cargo discharged",1986,1860,,
"World","Dry cargo discharged",1987,2120,,
"World","Dry cargo discharged",1988,2248,,
"World","Dry cargo discharged",1989,2337,,
"World","Dry cargo discharged",1990,2365,,
"World","Dry cargo discharged",1991,2449,,
"World","Dry cargo discharged",1992,2480,,
"World","Dry cargo discharged",1993,2477,,
"World","Dry cargo discharged",1994,2575,,
"World","Dry cargo discharged",1995,2685,,
"World","Dry cargo discharged",1996,2734,,
"World","Dry cargo discharged",1997,2890,,
"World","Dry cargo discharged",1998,3855,,
"World","Dry cargo discharged",1999,3955,,
"World","Dry cargo discharged",2000,4097,,
"World","Dry cargo discharged",2001,3954,,
"World","Dry cargo discharged",2002,4099,,
"World","Dry cargo discharged",2003,4324,,
"World","Dry cargo discharged",2004,4469,,
"World","Dry cargo discharged",2005,4696,,
"World","Dry cargo discharged",2006,5066,,
"World","Dry cargo discharged",2007,5165,,
"World","Dry cargo discharged",2008,5419,,
"World","Dry cargo discharged",2009,5044,,
"World","Dry cargo discharged",2010,5454,,
"World","Dry cargo discharged",2011,5766,,
"World","Dry cargo discharged",2012,6129,,
"World","Dry cargo discharged",2013,6511,,
"World","Dry cargo discharged",2014,6782,,
"World","Dry cargo discharged",2015,6879,,
"World","Dry cargo discharged",2016,7083,,
"World","Dry cargo discharged",2017,7366,,
"World","Dry cargo discharged",2018,7629,,
"World","Dry cargo discharged",2019,7712,,
"World","Dry cargo discharged",2020,7546,,
"World","Dry cargo discharged",2021,7856,,
"World","Total goods discharged",1970,2529,,
"World","Total goods discharged",1971,2632,,
"World","Total goods discharged",1972,2858,,
"World","Total goods discharged",1973,3237,,
"World","Total goods discharged",1974,3254,,
"World","Total goods discharged",1975,3055,,
"World","Total goods discharged",1976,3352,,
"World","Total goods discharged",1977,3442,,
"World","Total goods discharged",1978,3525,,
"World","Total goods discharged",1979,3814,,
"World","Total goods discharged",1980,3679,,
"World","Total goods discharged",1981,3512,,
"World","Total goods discharged",1982,3393,,
"World","Total goods discharged",1983,3312,,
"World","Total goods discharged",1984,3465,,
"World","Total goods discharged",1985,3433,,
"World","Total goods discharged",1986,3470,,
"World","Total goods discharged",1987,3628,,
"World","Total goods discharged",1988,3866,,
"World","Total goods discharged",1989,4070,,
"World","Total goods discharged",1990,4126,,
"World","Total goods discharged",1991,4245,,
"World","Total goods discharged",1992,4345,,
"World","Total goods discharged",1993,4422,,
"World","Total goods discharged",1994,4573,,
"World","Total goods discharged",1995,4743,,
"World","Total goods discharged",1996,4815,,
"World","Total goods discharged",1997,5037,,
"World","Total goods discharged",1998,5918,,
"World","Total goods discharged",1999,6007,,
"World","Total goods discharged",2000,6242,,
"World","Total goods discharged",2001,6201,,
"World","Total goods discharged",2002,6335,,
"World","Total goods discharged",2003,6603,,
"World","Total goods discharged",2004,6787,,
"World","Total goods discharged",2005,7122,,
"World","Total goods discharged",2006,7903,,
"World","Total goods discharged",2007,8063,,
"World","Total goods discharged",2008,8295,,
"World","Total goods discharged",2009,7841,,
"World","Total goods discharged",2010,8364,,
"World","Total goods discharged",2011,8702,,
"World","Total goods discharged",2012,9115,,
"World","Total goods discharged",2013,9483,,
"World","Total goods discharged",2014,9720,,
"World","Total goods discharged",2015,9965,,
"World","Total goods discharged",2016,10303,,
"World","Total goods discharged",2017,10687,,
"World","Total goods discharged",2018,11017,,
"World","Total goods discharged",2019,11055,,
"World","Total goods discharged",2020,10634,,
"World","Total goods discharged",2021,10975,,
"Asia","Crude oil loaded",2006,925,,
"Asia","Crude oil loaded",2007,942,,
"Asia","Crude oil loaded",2008,905,,
"Asia","Crude oil loaded",2009,874,,
"Asia","Crude oil loaded",2010,935,,
"Asia","Crude oil loaded",2011,908,,
"Asia","Crude oil loaded",2012,906,,
"Asia","Crude oil loaded",2013,909,,
"Asia","Crude oil loaded",2014,899,,
"Asia","Crude oil loaded",2015,948,,
"Asia","Crude oil loaded",2016,999,,
"Asia","Crude oil loaded",2017,997,,
"Asia","Crude oil loaded",2018,971,,
"Asia","Crude oil loaded",2019,880,,
"Asia","Crude oil loaded",2020,853,,
"Asia","Crude oil loaded",2021,869,,
"Asia","Other tanker trade loaded",2006,369,,
"Asia","Other tanker trade loaded",2007,375,,
"Asia","Other tanker trade loaded",2008,363,,
"Asia","Other tanker trade loaded",2009,368,,
"Asia","Other tanker trade loaded",2010,375,,
"Asia","Other tanker trade loaded",2011,405,,
"Asia","Other tanker trade loaded",2012,413,,
"Asia","Other tanker trade loaded",2013,449,,
"Asia","Other tanker trade loaded",2014,481,,
"Asia","Other tanker trade loaded",2015,531,,
"Asia","Other tanker trade loaded",2016,607,,
"Asia","Other tanker trade loaded",2017,608,,
"Asia","Other tanker trade loaded",2018,623,,
"Asia","Other tanker trade loaded",2019,664,,
"Asia","Other tanker trade loaded",2020,622,,
"Asia","Other tanker trade loaded",2021,652,,
"Asia","Dry cargo loaded",2006,1960,,
"Asia","Dry cargo loaded",2007,2095,,
"Asia","Dry cargo loaded",2008,2138,,
"Asia","Dry cargo loaded",2009,1990,,
"Asia","Dry cargo loaded",2010,2074,,
"Asia","Dry cargo loaded",2011,2197,,
"Asia","Dry cargo loaded",2012,2370,,
"Asia","Dry cargo loaded",2013,2525,,
"Asia","Dry cargo loaded",2014,2662,,
"Asia","Dry cargo loaded",2015,2618,,
"Asia","Dry cargo loaded",2016,2653,,
"Asia","Dry cargo loaded",2017,2812,,
"Asia","Dry cargo loaded",2018,2919,,
"Asia","Dry cargo loaded",2019,2977,,
"Asia","Dry cargo loaded",2020,2908,,
"Asia","Dry cargo loaded",2021,3055,,
"Asia","Total goods loaded",2006,3254,,
"Asia","Total goods loaded",2007,3411,,
"Asia","Total goods loaded",2008,3406,,
"Asia","Total goods loaded",2009,3232,,
"Asia","Total goods loaded",2010,3385,,
"Asia","Total goods loaded",2011,3509,,
"Asia","Total goods loaded",2012,3689,,
"Asia","Total goods loaded",2013,3884,,
"Asia","Total goods loaded",2014,4043,,
"Asia","Total goods loaded",2015,4097,,
"Asia","Total goods loaded",2016,4259,,
"Asia","Total goods loaded",2017,4417,,
"Asia","Total goods loaded",2018,4514,,
"Asia","Total goods loaded",2019,4521,,
"Asia","Total goods loaded",2020,4383,,
"Asia","Total goods loaded",2021,4575,,
"Asia","Crude oil discharged",2006,766,,
"Asia","Crude oil discharged",2007,834,,
"Asia","Crude oil discharged",2008,820,,
"Asia","Crude oil discharged",2009,827,,
"Asia","Crude oil discharged",2010,858,,
"Asia","Crude oil discharged",2011,885,,
"Asia","Crude oil discharged",2012,917,,
"Asia","Crude oil discharged",2013,957,,
"Asia","Crude oil discharged",2014,972,,
"Asia","Crude oil discharged",2015,999,,
"Asia","Crude oil discharged",2016,1097,,
"Asia","Crude oil discharged",2017,1151,,
"Asia","Crude oil discharged",2018,1194,,
"Asia","Crude oil discharged",2019,1202,,
"Asia","Crude oil discharged",2020,1197,,
"Asia","Crude oil discharged",2021,1180,,
"Asia","Other tanker trade discharged",2006,338,,
"Asia","Other tanker trade discharged",2007,350,,
"Asia","Other tanker trade discharged",2008,380,,
"Asia","Other tanker trade discharged",2009,373,,
"Asia","Other tanker trade discharged",2010,411,,
"Asia","Other tanker trade discharged",2011,443,,
"Asia","Other tanker trade discharged",2012,458,,
"Asia","Other tanker trade discharged",2013,475,,
"Asia","Other tanker trade discharged",2014,481,,
"Asia","Other tanker trade discharged",2015,558,,
"Asia","Other tanker trade discharged",2016,611,,
"Asia","Other tanker trade discharged",2017,642,,
"Asia","Other tanker trade discharged",2018,673,,
"Asia","Other tanker trade discharged",2019,675,,
"Asia","Other tanker trade discharged",2020,675,,
"Asia","Other tanker trade discharged",2021,680,,
"Asia","Dry cargo discharged",2006,2678,,
"Asia","Dry cargo discharged",2007,2869,,
"Asia","Dry cargo discharged",2008,3075,,
"Asia","Dry cargo discharged",2009,3116,,
"Asia","Dry cargo discharged",2010,3362,,
"Asia","Dry cargo discharged",2011,3563,,
"Asia","Dry cargo discharged",2012,3820,,
"Asia","Dry cargo discharged",2013,4121,,
"Asia","Dry cargo discharged",2014,4305,,
"Asia","Dry cargo discharged",2015,4347,,
"Asia","Dry cargo discharged",2016,4477,,
"Asia","Dry cargo discharged",2017,4743,,
"Asia","Dry cargo discharged",2018,4873,,
"Asia","Dry cargo discharged",2019,5038,,
"Asia","Dry cargo discharged",2020,5088,,
"Asia","Dry cargo discharged",2021,5194,,
"Asia","Total goods discharged",2006,3782,,
"Asia","Total goods discharged",2007,4053,,
"Asia","Total goods discharged",2008,4275,,
"Asia","Total goods discharged",2009,4316,,
"Asia","Total goods discharged",2010,4631,,
"Asia","Total goods discharged",2011,4890,,
"Asia","Total goods discharged",2012,5194,,
"Asia","Total goods discharged",2013,5553,,
"Asia","Total goods discharged",2014,5757,,
"Asia","Total goods discharged",2015,5904,,
"Asia","Total goods discharged",2016,6185,,
"Asia","Total goods discharged",2017,6537,,
"Asia","Total goods discharged",2018,6740,,
"Asia","Total goods discharged",2019,6915,,
"Asia","Total goods discharged",2020,6960,,
"Asia","Total goods discharged",2021,7055,,
"Central Asia","Crude oil loaded",2006,0,,
"Central Asia","Crude oil loaded",2007,0,,
"Central Asia","Crude oil loaded",2008,0,,
"Central Asia","Crude oil loaded",2009,0,,
"Central Asia","Crude oil loaded",2010,0,,
"Central Asia","Crude oil loaded",2011,0,,
"Central Asia","Crude oil loaded",2012,0,,
"Central Asia","Crude oil loaded",2013,0,,
"Central Asia","Crude oil loaded",2014,0,,
"Central Asia","Crude oil loaded",2015,0,,
"Central Asia","Crude oil loaded",2016,0,,
"Central Asia","Crude oil loaded",2017,0,,
"Central Asia","Crude oil loaded",2018,0,,
"Central Asia","Crude oil loaded",2019,0,,
"Central Asia","Crude oil loaded",2020,0,,
"Central Asia","Crude oil loaded",2021,0,,
"Central Asia","Other tanker trade loaded",2006,0,,
"Central Asia","Other tanker trade loaded",2007,0,,
"Central Asia","Other tanker trade loaded",2008,0,,
"Central Asia","Other tanker trade loaded",2009,0,,
"Central Asia","Other tanker trade loaded",2010,0,,
"Central Asia","Other tanker trade loaded",2011,0,,
"Central Asia","Other tanker trade loaded",2012,0,,
"Central Asia","Other tanker trade loaded",2013,0,,
"Central Asia","Other tanker trade loaded",2014,0,,
"Central Asia","Other tanker trade loaded",2015,0,,
"Central Asia","Other tanker trade loaded",2016,0,,
"Central Asia","Other tanker trade loaded",2017,0,,
"Central Asia","Other tanker trade loaded",2018,0,,
"Central Asia","Other tanker trade loaded",2019,0,,
"Central Asia","Other tanker trade loaded",2020,0,,
"Central Asia","Other tanker trade loaded",2021,0,,
"Central Asia","Dry cargo loaded",2006,0,,
"Central Asia","Dry cargo loaded",2007,0,,
"Central Asia","Dry cargo loaded",2008,0,,
"Central Asia","Dry cargo loaded",2009,0,,
"Central Asia","Dry cargo loaded",2010,0,,
"Central Asia","Dry cargo loaded",2011,0,,
"Central Asia","Dry cargo loaded",2012,0,,
"Central Asia","Dry cargo loaded",2013,0,,
"Central Asia","Dry cargo loaded",2014,0,,
"Central Asia","Dry cargo loaded",2015,0,,
"Central Asia","Dry cargo loaded",2016,0,,
"Central Asia","Dry cargo loaded",2017,0,,
"Central Asia","Dry cargo loaded",2018,0,,
"Central Asia","Dry cargo loaded",2019,0,,
"Central Asia","Dry cargo loaded",2020,0,,
"Central Asia","Dry cargo loaded",2021,0,,
"Central Asia","Total goods loaded",2006,0,,
"Central Asia","Total goods loaded",2007,0,,
"Central Asia","Total goods loaded",2008,0,,
"Central Asia","Total goods loaded",2009,0,,
"Central Asia","Total goods loaded",2010,0,,
"Central Asia","Total goods loaded",2011,0,,
"Central Asia","Total goods loaded",2012,0,,
"Central Asia","Total goods loaded",2013,0,,
"Central Asia","Total goods loaded",2014,0,,
"Central Asia","Total goods loaded",2015,0,,
"Central Asia","Total goods loaded",2016,0,,
"Central Asia","Total goods loaded",2017,0,,
"Central Asia","Total goods loaded",2018,0,,
"Central Asia","Total goods loaded",2019,0,,
"Central Asia","Total goods loaded",2020,0,,
"Central Asia","Total goods loaded",2021,0,,
"Central Asia","Crude oil discharged",2006,0,,
"Central Asia","Crude oil discharged",2007,0,,
"Central Asia","Crude oil discharged",2008,0,,
"Central Asia","Crude oil discharged",2009,0,,
"Central Asia","Crude oil discharged",2010,0,,
"Central Asia","Crude oil discharged",2011,0,,
"Central Asia","Crude oil discharged",2012,0,,
"Central Asia","Crude oil discharged",2013,0,,
"Central Asia","Crude oil discharged",2014,0,,
"Central Asia","Crude oil discharged",2015,0,,
"Central Asia","Crude oil discharged",2016,0,,
"Central Asia","Crude oil discharged",2017,0,,
"Central Asia","Crude oil discharged",2018,0,,
"Central Asia","Crude oil discharged",2019,0,,
"Central Asia","Crude oil discharged",2020,0,,
"Central Asia","Crude oil discharged",2021,0,,
"Central Asia","Other tanker trade discharged",2006,0,,
"Central Asia","Other tanker trade discharged",2007,0,,
"Central Asia","Other tanker trade discharged",2008,0,,
"Central Asia","Other tanker trade discharged",2009,0,,
"Central Asia","Other tanker trade discharged",2010,0,,
"Central Asia","Other tanker trade discharged",2011,0,,
"Central Asia","Other tanker trade discharged",2012,0,,
"Central Asia","Other tanker trade discharged",2013,0,,
"Central Asia","Other tanker trade discharged",2014,0,,
"Central Asia","Other tanker trade discharged",2015,0,,
"Central Asia","Other tanker trade discharged",2016,0,,
"Central Asia","Other tanker trade discharged",2017,0,,
"Central Asia","Other tanker trade discharged",2018,0,,
"Central Asia","Other tanker trade discharged",2019,0,,
"Central Asia","Other tanker trade discharged",2020,0,,
"Central Asia","Other tanker trade discharged",2021,0,,
"Central Asia","Dry cargo discharged",2006,0,,
"Central Asia","Dry cargo discharged",2007,0,,
"Central Asia","Dry cargo discharged",2008,0,,
"Central Asia","Dry cargo discharged",2009,0,,
"Central Asia","Dry cargo discharged",2010,0,,
"Central Asia","Dry cargo discharged",2011,0,,
"Central Asia","Dry cargo discharged",2012,0,,
"Central Asia","Dry cargo discharged",2013,0,,
"Central Asia","Dry cargo discharged",2014,0,,
"Central Asia","Dry cargo discharged",2015,0,,
"Central Asia","Dry cargo discharged",2016,0,,
"Central Asia","Dry cargo discharged",2017,0,,
"Central Asia","Dry cargo discharged",2018,0,,
"Central Asia","Dry cargo discharged",2019,0,,
